Title,Corp,Condition,Location,Tag,Link
"(연봉3840/연장,휴일수당 별도지급) 영업지원팀&영업팀 모집",(주)동일판매,"경력무관초대졸↑정규직·계약직3,840 만원",서울송파구,"영업, 기술영업, 영업관리, 영업직, 영업지원 외 수정일 22/10/28",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44303357
기술영업종합사업부 신규 및 경력자 채용공고(대전),(주)대한과학,"신입·경력대졸↑정규직3,000 (면접 후 협의)",대전대덕구,"기술영업, 장비영업, 거래처납품, 정비기사, 렌탈 외 등록일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44380020
전력전자 엔지니어 및 기구설계 채용 공고(경력/신입),(주)이지트로닉스,신입·경력초대졸↑정규직·전문연구요원,경기화성시,"임베디드, H/W, 펌웨어, 전력전자, 회로설계 외 수정일 22/10/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44049596
소프트웨어 개발자 채용,(주)엠투아이코퍼레이션,신입·경력대졸↑정규직,경기전체,"C언어, 유지보수, C++, S/W, Linux 외 수정일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42993855
iOS 개발자 채용,(주)다이얼커뮤니케이션즈,경력무관학력무관정규직,서울강서구,"Objective-C, C++, iOS, 앱개발, 통신 외 등록일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44434263
[셀메드사업부] 영업지원(CS)/출고/학술 정규직 채용,(주)제이비케이랩,경력무관학력무관정규직,경기성남시 중원구,"CS, 영업, 영업관리, 영업지원, 기획 외 수정일 22/10/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44295854
유명 미디어제작사 [ 엔진/그래픽스 프로그래머 ] 실무,(주)스카우트,경력 1~15년대졸↑정규직,서울강남구,"C++, 솔루션, OpenGL, Unity, Unreal 외 등록일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44448619
[경력] DevOps Engineer,(주)알체라,경력 2~6년학력무관정규직,경기전체,"AWS, 백엔드/서버개발, 클라우드, Java, 웹개발 외 등록일 22/11/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44408316
전력변환 제어기 개발,슈어소프트테크(주),경력 2~7년초대졸↑정규직,서울전체,"C언어, 머신러닝, AUTOSAR, C++, S/W 외 수정일 21/12/01",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41424818
S/W 개발 연구원 모집,(주)에스피에스,"경력무관대졸↑정규직3,200 만원",대전유성구,"Objective-C, R&D, 머신러닝, AI(인공지능), C++ 외 등록일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44431450
