Title,Corp,Condition,Location,Tag,Link
[헤드헌팅] 외국계 광학전문기업(반도체) 각 부문 정규직 채용,피플자바,경력무관대졸↑정규직,서울송파구,"기술영업, 고객관리, 광학설계, 반도체설계, 광학/렌즈 외 수정일 22/11/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44418560
블록체인 플랫폼 개발 관리자(프론트엔드 부분)모집,메타플랜(주),"경력무관고졸↑정규직3,000 (면접 후 협의)",광주광산구,"Python, Java, C++, 백엔드/서버개발, 블록체인 외 수정일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44346984
(주)앰진 IT 기술개발 신입·경력 채용공고,(주)앰진,신입·경력대졸↑정규직,대전유성구,"마케팅기획, 마케팅전략, 시장조사, 통계/분석, 사업기획 외 등록일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44426284
2022년 생물정보학 전문가 채용 - 암 재발진단 플랫폼 개발,(주)아이엠비디엑스,경력무관대졸↑정규직,서울금천구,"빅데이터, 생명과학, 의료기기연구, 임상개발, 유지보수 외 등록일 22/11/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44410640
[AI인공지능 정보보안] IT기술영업/마케팅 부문 1~3년이상,(주)컴트루테크놀로지,경력1년↑대졸↑정규직·계약직,서울마포구,"영업관리, 솔루션기술영업, IT영업, 고객관리, 매출관리 외 등록일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44433570
CRM 고객데이터 분석가 & BI Tool 경험자 (신입환영),(주)뉴브릭엠씨에스,경력무관학력무관정규직,서울강남구,"데이터분석, 기획, CRM, DW, DataMining 등록일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44429544
DevOps Engineer,(주)퓨리오사에이아이,경력2년↑대졸↑,서울강남구,"Python, AWS, Linux, DevOps, Azure 외 수정일 22/11/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44409360
[AI인공지능 정보보안] IT기술영업 신입 모집,(주)컴트루테크놀로지,신입대졸↑정규직·인턴직,서울마포구,"영업관리, 솔루션기술영업, IT영업, 고객관리, 매출관리 외 등록일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44433581
2022년(하반기)   신입/경력직 개발자 채용공고,(주)매그파이소프트,경력무관대졸↑정규직,대전중구,"Java, C++, 웹개발, 백엔드/서버개발, 머신러닝 외 수정일 22/11/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44399831
"해양물리(측량, 물리조사 및 분석, 수치모델링, 잠수) 채용 공고",㈜국토해양환경기술단,경력무관대졸↑정규직,경기수원시 영통구,"해양조사, 환경영향평가, CAD, 환경, 수질환경 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44398427
스타트업 웹 어플리케이션 개발자 모집 - 생명과학 전공자 우대,실리코팜(주),경력무관대졸↑정규직,대구달성군,"Python, AWS, 웹개발, Ruby, 솔루션 외 수정일 22/10/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44051140
프론트엔드 개발자,(주)사미텍,신입·경력초대졸↑정규직,대전전체,"웹개발, 빅데이터, 퍼블리셔, 프론트엔드, 반응형웹 외 수정일 22/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44120555
R&D 사업 기획 및 수행 신입 채용,(재)한국조명아이씨티연구원,신입대졸↑정규직,전북익산시,"연구원, R&D, R&D기획, 기술연구, 전자파 외 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44396423
부문별 신입 및 경력 채용 공고,(주)스타마타,경력무관학력무관정규직,서울강남구,"총무, 경영지원, 알고리즘개발, 렌더링, Unreal 외 등록일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44426337
인공지능 기반 스마트항만 스타트업을 함께할 개발자를 찾습니다,스마트체인,"신입·경력대졸↑정규직4,500 만원",부산금정구,"Python, 딥러닝, IoT, AI(인공지능), Javascript 외 수정일 22/10/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44259446
프로그래밍 강사 (Tech Coach) 신입 채용,(주)해피해킹,신입대졸↑정규직,서울강남구,"웹개발, 빅데이터, 백엔드/서버개발, 머신러닝, 딥러닝 외 수정일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44414830
AI 분야 상시 채용,(주)LG유플러스,신입·경력대졸↑,서울전체,"Python, C++, AWS, 머신러닝, 딥러닝 외 수정일 22/07/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43583716
웹 개발자 신입/초중급 채용,(주)피디정보통신,신입·경력학력무관정규직,서울강남구,"Java, 웹개발, 백엔드/서버개발, Django, Javascript 외 등록일 22/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44177177
퀀트 리서처 채용 [샌드뱅크],(주)디에이그라운드,신입·경력초대졸↑정규직,서울강남구,"리서치, 데이터분석, 사업개발, 사업관리, 신사업기획 외 수정일 22/10/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44269283
2022년 소프트웨어 개발자 모집 (상시 모집),(주)토브텍,경력무관대졸↑정규직,대전유성구,"Python, C++, 빅데이터, Linux, SE(시스템엔지니어) 외 등록일 22/10/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44220939
[AI인공지능 정보보안] 기술지원 서울 / 세종 (서울교육),(주)컴트루테크놀로지,신입·경력대졸↑정규직·인턴직,서울마포구,"영업관리, IT영업, 고객관리, H/W, S/W 외 등록일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44433540
IMNEWRUN 연구직 채용(병역특례 가능),(주)아임뉴런,신입·경력석사↑정규직·전문연구요원,경기수원시 장안구,"연구원, 임상PM, 미생물, 생명과학, 임상개발 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44330660
